"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"Total population","329,725,481","*****","(X)","(X)","163,206,615","±7,110","(X)","(X)","166,518,866","±7,150","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","19,423,121","±4,354","5.9%","±0.1","9,940,776","±4,114","6.1%","±0.1","9,482,345","±4,338","5.7%","±0.1"
"        5 to 9 years","20,247,138","±29,889","6.1%","±0.1","10,353,792","±22,837","6.3%","±0.1","9,893,346","±20,332","5.9%","±0.1"
"        10 to 14 years","21,674,117","±29,685","6.6%","±0.1","11,101,231","±22,256","6.8%","±0.1","10,572,886","±21,136","6.3%","±0.1"
"        15 to 19 years","21,654,363","±7,709","6.6%","±0.1","11,076,327","±6,166","6.8%","±0.1","10,578,036","±6,412","6.4%","±0.1"
"        20 to 24 years","21,574,425","±8,736","6.5%","±0.1","11,019,066","±5,078","6.8%","±0.1","10,555,359","±6,376","6.3%","±0.1"
"        25 to 29 years","22,854,328","±7,073","6.9%","±0.1","11,591,761","±5,278","7.1%","±0.1","11,262,567","±4,362","6.8%","±0.1"
"        30 to 34 years","22,506,614","±6,909","6.8%","±0.1","11,365,543","±5,258","7.0%","±0.1","11,141,071","±4,057","6.7%","±0.1"
"        35 to 39 years","21,920,290","±30,082","6.6%","±0.1","11,035,080","±18,645","6.8%","±0.1","10,885,210","±20,251","6.5%","±0.1"
"        40 to 44 years","20,521,593","±30,863","6.2%","±0.1","10,294,662","±19,105","6.3%","±0.1","10,226,931","±20,770","6.1%","±0.1"
"        45 to 49 years","20,582,187","±6,319","6.2%","±0.1","10,270,733","±4,729","6.3%","±0.1","10,311,454","±4,513","6.2%","±0.1"
"        50 to 54 years","21,049,271","±6,119","6.4%","±0.1","10,475,868","±4,000","6.4%","±0.1","10,573,403","±3,620","6.3%","±0.1"
"        55 to 59 years","21,928,936","±27,479","6.7%","±0.1","10,781,599","±17,667","6.6%","±0.1","11,147,337","±19,317","6.7%","±0.1"
"        60 to 64 years","20,900,477","±28,268","6.3%","±0.1","10,137,757","±18,169","6.2%","±0.1","10,762,720","±19,812","6.5%","±0.1"
"        65 to 69 years","17,634,322","±22,944","5.3%","±0.1","8,376,472","±13,864","5.1%","±0.1","9,257,850","±16,374","5.6%","±0.1"
"        70 to 74 years","13,956,297","±23,711","4.2%","±0.1","6,510,539","±14,303","4.0%","±0.1","7,445,758","±16,412","4.5%","±0.1"
"        75 to 79 years","9,066,018","±18,489","2.7%","±0.1","4,080,591","±11,334","2.5%","±0.1","4,985,427","±12,503","3.0%","±0.1"
"        80 to 84 years","5,932,196","±14,517","1.8%","±0.1","2,517,207","±10,067","1.5%","±0.1","3,414,989","±12,047","2.1%","±0.1"
"        85 years and over","6,299,788","±20,067","1.9%","±0.1","2,277,611","±11,162","1.4%","±0.1","4,022,177","±12,793","2.4%","±0.1"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","41,921,255","±6,468","12.7%","±0.1","21,455,023","±5,155","13.1%","±0.1","20,466,232","±4,819","12.3%","±0.1"
